"FilePath","Category","DirName","Lines","Sections","Name","Description","ArgumentHint","UserInvocable","HasAllowedTools","LargeTables_10plus","LargeLists_30plus","LargeText_30plus","HasLargeInline","CodeLangs","Images","RefCount","RefFileNames","HasEmptyRef","CacheLayerAnnotations","RefReadInFirst20pct","TitleMatchesName","IsGenreWrapper","HasGenreRoute"
"SKILL.md","Other","提示词工程","434","14","通用-深度研究","""专用于小说写作的结构化深度研究 Skill。支持对题材趋势、平台生态、专业知识、场景环境、人物原型、写作技法、读者市场等研究域，执行大纲生成→并行深搜→报告输出的全流程深度调研。关键词：深度研究、写作研究、题材调研。""","""研究什么课题？例如：起点中文网都市悬疑题材2025-2026趋势。可选指定研究域：题材趋势/平台生态/专业知识/场景环境/人物原型/写作技法/读者市场。""","true","False","1","0","0","True","","0","0","","False","0","False","True","False","False"
".github\skills\create-genre-skill-skeletons\SKILL.md","GenreWrapper","create-genre-skill-skeletons","117","8","create-genre-skill-skeletons","'Use when creating a full or partial set of genre wrapper skills under a genre directory. Builds `.github/skills/` subfolders and `SKILL.md` skeletons for a specified genre, keeps the `题材名-能力名` naming rule, and writes hard requirements that each genre skill must load and use its corresponding common skill when that common skill already exists.'","'题材目录名，以及要创建全量标准清单还是其中一部分。'","true","False","0","0","0","False","","0","8","all-13-platform-section-recovery-mapping.md;dual-genre-output-platform-migration-ledger.md;genre-skill-skeleton-template.md;output-platform-lossless-mapping-ledger-template.md;output-platform-migration-audit-checklist.md;pilot-shared-platform-lossless-mapping-ledger.md;pilot-shared-platform-section-mapping.md;standard-genre-skill-list.md","True","0","True","False","True","False"
"AI科幻\.github\skills\AI科幻-分析竞对作品\SKILL.md","GenreWrapper","AI科幻-分析竞对作品","100","11","AI科幻-分析竞对作品","""用于【AI科幻】题材下搜索起点中文网等目标平台的同题材 TopN 候选池，先锁定榜单与样本池，再从中收束 3–5 本主样本做四层深拆式竞对分析。作为题材包装层与路由层，负责保留AI科幻标准入口名，补充技术视角、技术针脚、数据链/系统逻辑链、长线系统谜团等题材维度，并明确要求优先强制加载并使用 `通用-分析竞对作品`。关键词：AI科幻竞对分析、AI科幻竞品分析、起点AI科幻榜单、标杆作品拆解、技术悬疑标杆报告。""","""请输入要服务的AI科幻项目、目标平台、TopN 的 N 值（默认 10）以及报告落盘目录；若未指定，默认以起点中文网为主，并先锁定 Top10 候选池，再收束 3–5 本主样本写入当前工作目录或 `AI科幻/竞对分析/`。""","false","False","0","0","0","False","","0","1","AI科幻竞对分析补充维度.md","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-创建小说正文\SKILL.md","GenreWrapper","AI科幻-创建小说正文","86","13","AI科幻-创建小说正文","'用于【AI科幻】题材下的章节正文创作。作为题材包装层、兼容入口与路由层，负责保留AI科幻入口名，补充起点追读、数据追溯程序、真实编号、数字压迫感与文件写回要求，并要求生成的 `","'要写哪一章AI科幻正文？默认按“章纲 / 控制卡 / 场景施工 / 回报与钩子兑现”处理。'","false","False","0","0","0","False","","0","2","控制卡落正文与镜头化桥接.md;题材正文创作补充规则.md","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-去AI味重写\SKILL.md","GenreWrapper","AI科幻-去AI味重写","63","6","AI科幻-去AI味重写","'用于【AI科幻】题材下的去 AI 味重写。作为题材包装层、兼容入口与路由层，负责保留AI科幻标准入口名、补充程序 / 数据痕迹径、数值双轨与冷压迫来源保护边界，并明确要求优先强制加载并使用 `通用-去AI味重写`。关键词：AI科幻去AI味、模板腔、数据痕迹径、冷压迫。'","'要处理哪一章或哪一段AI科幻正文的 AI 味？默认按“保信息、保结构、保护数据痕迹冷压迫来源”处理。'","false","False","0","0","0","False","","0","9","去AI味执行清单.md;三级改造与工具包.md;实战自检与陷阱.md;数值双轨与视角保护.md;通用风格与排版补充.md;与控制卡_正文润色_审阅章节正文的桥接规则.md;AI科幻冷压迫来源保护清单.md;AI味识别雷达.md;AI味识别与改写工具包.md","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-多平台小说适配\SKILL.md","GenreWrapper","AI科幻-多平台小说适配","58","7","AI科幻-多平台小说适配","'用于【AI科幻】题材下的多平台适配策略。作为题材包装层与兼容入口，负责保留AI科幻入口名、补充异常数据、系统摩擦、数字压迫感与长期谜团在各平台的保真边界，并明确要求优先强制加载并使用 `通用-多平台小说适配`。关键词：AI科幻多平台适配、平台差异、改写前推演、平台保真。'","'要把哪一章AI科幻适配到哪些平台？默认按“先做平台差异推演，再按题材保真边界拉开版本”处理。'","false","False","0","0","0","False","","0","1","AI科幻平台适配优先级矩阵.md","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-多平台输出编排\SKILL.md","GenreWrapper","AI科幻-多平台输出编排","65","7","AI科幻-多平台输出编排","'用于【AI科幻】题材下的多平台输出 SOP 编排。作为题材包装层、兼容入口与路由层，负责保留AI科幻入口名，并明确要求优先强制加载并使用 `通用-多平台输出编排`，同时在多平台分发前先锁定母稿底盘与题材差异。支持今日头条分发。'","'要把哪一章或哪几章分发到多个平台？默认按“母稿提纯 → 平台适配 → 分平台落盘 → 质检摘要”处理。'","false","False","0","0","0","False","","0","2","题材多平台输出保真规则.md;README.md","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-大纲审阅优化闭环\SKILL.md","GenreWrapper","AI科幻-大纲审阅优化闭环","65","8","AI科幻-大纲审阅优化闭环","'用于【AI科幻】题材下的提纲审阅优化 SOP 编排。作为题材包装层、兼容入口与路由层，负责保留AI科幻入口名，并明确要求优先强制加载并使用 `通用-大纲审阅优化闭环`，同时按总纲 / 分卷对象分流到对应题材审阅与设计 Skill。'","'要把哪份AI科幻大纲反复审改到过线？默认按“审阅 → 回写 → 复审”持续覆盖同一份主报告。'","false","False","0","0","0","False","","0","2","题材大纲闭环补充规则.md;总纲分卷审改轮次与回写策略.md","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-审阅人物传记\SKILL.md","GenreWrapper","AI科幻-审阅人物传记","85","9","AI科幻-审阅人物传记","'用于审阅AI科幻人物传记。作为题材包装层与兼容入口，负责补充可证据化秘密、事件性关系网与镜头抓手等题材裁判口径，并明确要求优先强制加载并使用 `通用-审阅人物传记`。关键词：AI科幻人物审阅、可证据化秘密、关系网、心理弧线。'","'要审哪份AI科幻人物传记？默认按“身份、动机、边界、关系、抓手、弧线、索引”从严体检。'","false","False","0","0","0","False","","0","4","人物传记审阅报告增补.md;人物传记审阅检查清单.md;审阅维度说明.md;题材人物审阅模板补充.md","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-审阅分卷大纲\SKILL.md","GenreWrapper","AI科幻-审阅分卷大纲","104","13","AI科幻-审阅分卷大纲","'审阅AI科幻小说分部大纲、分卷大纲、章清单与单元案执行版。核心要求是：分部/分卷大纲必须把上一级分配给本层的内容切实、全量、保质落地。分部审阅要核查总纲层文件组分配给本部的全部内容是否已落地；分卷审阅要按是否存在分部，分别核查其是否完整落地总纲层或分部层分配内容。关键词：分部审阅、分卷审阅、单元案审阅、节奏布点、钩子策略、章清单审阅。'","'要审哪份AI科幻分部 / 分卷文件？默认按“上游全量落地、卷级节奏、章中回报与单元闭环”处理。'","false","False","0","0","0","False","","0","4","分部与分卷审阅报告增补.md;分部与分卷审阅专属检查清单.md;首卷留存章中回报与平台节奏诊断.md;题材分卷审阅模板补充.md","False","0","False","True","True","False"
